Station,Code,Lat,Lon,Straat,Huisnummer,Postcode,Plaats,Land
Geldrop,GP,51.41972351,5.550555706,Parallelweg,2b,5664 AC,Geldrop,Netherlands
Geleen Oost,GLN,50.96694565,5.843055725,??,??,6166 CA,Geleen,Netherlands
Geleen-Lutterade,LUT,50.97555542,5.82472229,??,??,6162 XL,Geleen,Netherlands
Gilze-Rijen,GZ,51.58361053,4.926111221,Parallelweg,10,5121 LD,Rijen,Netherlands
Goes,GS,51.4980545,3.89055562,Stationspark,14,4461 HK,Goes,Netherlands
Goor,GO,52.23027802,6.584444523,??,??,7471 VD,Goor,Netherlands
Gorinchem,GR,51.83388901,4.968333244,Stationsweg,15,4205 AA,Gorinchem,Netherlands
Gouda Goverwelle,GDG,52.01499939,4.740833282,Willensplein,1,2807 PA,Gouda,Netherlands
Gouda,GD,52.01750183,4.704444408,Stationsplein,8A,2801 AK,Gouda,Netherlands
Gramsbergen,GBG,52.60916519,6.675833225,De Oostermaat,46,7783 BX,Gramsbergen,Netherlands
Glanerbrug,GBR,52.21861267,6.974444389,Heurmanstraat,25,7532 AL,Enschede,Netherlands
Groningen,GN,53.21055603,6.564722061,Stationsplein,26,9726 AE,Groningen,Netherlands
Groningen Noord,GNN,53.2301469,6.5563172,??,??,9716 AV,Groningen,Netherlands
Grou-Jirnsum,GW,53.08889008,5.822500229,Reinerswei,2,9001 ZK,Grou,Netherlands
Grijpskerk,GK,53.25574033,6.30977869,Stationsstraat,30,9843 AE,Grijpskerk,Netherlands
Haarlem Spaarnwoude,HLMS,52.38277817,4.673055649,??,??,2033 AA,Haarlem,Netherlands
Den Haag Mariahoeve,GVM,52.0905571,4.36944437,Appelgaarde,121,2272 TD,Voorburg,Netherlands
Den Haag Moerwijk,GVMW,52.05389023,4.308610916,??,??,2531 RW,Den Haag,Netherlands
Den Haag HS,GV,52.06972122,4.322500229,Stationsplein,49,2515 BW,Den Haag,Netherlands
Den Haag Centraal,GVC,52.08027649,4.324999809,??,??,2595 AA,Den Haag,Netherlands
